X	    J0(x)	        Y0(x)
0	    1	            Undefined
0.1	    0.997501562	    -1.534238651
0.2	    0.990024972	    -1.081105322
0.3	    0.977626247	    -0.807273578
0.4	    0.960398227	    -0.606024568
0.5	    0.938469807	    -0.444518734
0.6	    0.912004863	    -0.30850987
0.7	    0.881200889	    -0.190664929
0.8	    0.846287353	    -0.08680228
0.9	    0.807523798	    0.005628307
1	    0.765197687	    0.088256964
1.1	    0.719622019	    0.162163203
1.2	    0.671132744	    0.228083503
1.3	    0.62008599	    0.286535357
1.4	    0.56685512	    0.33789513
1.5	    0.511827672	    0.382448924
1.6	    0.455402168	    0.420426896
1.7	    0.397984859	    0.452027
1.8	    0.339986411	    0.477431715
1.9	    0.281818559	    0.496819971
2	    0.223890779	    0.510375673
2.1	    0.16660698	    0.518293738
2.2	    0.110362267	    0.520784285
2.3	    0.055539784	    0.518075396
2.4	    0.002507683	    0.510414749
2.5	    -0.048383776	0.49807036
2.6	    -0.096804954	0.481330591
2.7	    -0.14244937	    0.460503549
2.8	    -0.185036033	0.435915986
2.9	    -0.224311546	0.407911769
3	    -0.260051955	0.37685001
3.1	    -0.292064348	0.343102889
3.2	    -0.32018817	    0.30705325
3.3	    -0.34429626	    0.269091995
3.4	    -0.364295597	0.229615337
3.5	    -0.38012774	    0.189021944
3.6	    -0.391768984	0.147710013
3.7	    -0.399230203	0.106074315
3.8	    -0.40255641	    0.064503247
3.9	    -0.401826015	0.023375908
4	    -0.39714981	    -0.016940739
4.1	    -0.38866968	    -0.056094627
4.2	    -0.376557054	-0.093751201
4.3	    -0.361011117	-0.129595903
4.4	    -0.34225679	    -0.163336463
4.5	    -0.320542509	-0.194705009
4.6	    -0.296137817	-0.223459953
4.7	    -0.269330789	-0.249387647
4.8	    -0.240425327	-0.272303794
4.9	    -0.209738328	-0.292054594
5	    -0.177596771	-0.308517625
5.1	    -0.144334747	-0.321602449
5.2	    -0.11029044	    -0.331250935
5.3	    -0.075803112	-0.337437301
5.4	    -0.041210101	-0.340167878
5.5	    -0.006843869    -0.339480593
5.6	    0.026970885	    -0.335444181
5.7	    0.05992001	    -0.328157141
5.8	    0.091702568	    -0.31774643
5.9	    0.122033355	    -0.30436593
6	    0.150645257	    -0.288194684
6.1	    0.177291422	    -0.26943493
6.2	    0.201747223	    -0.248309951
6.3	    0.223812006	    -0.22506175
6.4	    0.243310605	    -0.199948595
6.5	    0.260094606	    -0.173242435
