Frequency, Aproximate Re, Aproximate Im, Analytical Re, Analytical Im, Wave Number, Radial distance, Percent abs(z) error
500000,(-0.00129834,0.000856171),(-0.000493709,0.000869627),0.0104792,1000,0.804746
510000,(-0.00112066,0.000941657),(-0.000301976,0.000953316),0.0106888,1000,0.81877
520000,(-0.000936907,0.000986434),(-9.70273e-05,0.000995282),0.0108984,1000,0.839926
530000,(-0.000823306,0.000988567),(0.000112168,0.000993689),0.011108,1000,0.935488
540000,(-0.000659684,0.000947984),(0.000316454,0.000948608),0.0113176,1000,0.976138
550000,(-0.000516488,0.000866481),(0.00050689,0.000862011),0.0115271,1000,1.02339
560000,(-0.000461698,0.00074764),(0.000675142,0.000737687),0.0117367,1000,1.13688
570000,(-0.000375771,0.00059667),(0.000813847,0.000581079),0.0119463,1000,1.18972
580000,(-0.00032854,0.000420187),(0.000916934,0.00039904),0.0121559,1000,1.24565
590000,(-0.000377551,0.000225915),(0.00097989,0.000199537),0.0123655,1000,1.3577
600000,(-0.000401858,2.23561e-05),(0.000999962,-8.69941e-06),0.0125751,1000,1.40216
610000,(-0.000469061,-0.000181586),(0.00097627,-0.000216555),0.0127847,1000,1.44575
620000,(-0.000625711,-0.000376993),(0.000909852,-0.000414932),0.0129942,1000,1.53603
630000,(-0.000749292,-0.000555321),(0.000803614,-0.000595151),0.0132038,1000,1.55342
640000,(-0.000905499,-0.000708775),(0.000662206,-0.000749322),0.0134134,1000,1.56823
650000,(-0.00113127,-0.000830651),(0.000491816,-0.000870699),0.013623,1000,1.62358
660000,(-0.00130424,-0.000915623),(0.000299902,-0.00095397),0.0138326,1000,1.60461
670000,(-0.00149028,-0.000959979),(9.48624e-05,-0.00099549),0.0140422,1000,1.58554
680000,(-0.00171955,-0.000961786),(-0.000114329,-0.000993443),0.0142517,1000,1.60554
690000,(-0.0018728,-0.000920966),(-0.000318516,-0.000947917),0.0144613,1000,1.55452
700000,(-0.00201895,-0.000839307),(-0.000508764,-0.000860906),0.0146709,1000,1.51034
710000,(-0.00218469,-0.000720378),(-0.000676745,-0.000736217),0.0148805,1000,1.50803
720000,(-0.00225687,-0.000569377),(-0.000815109,-0.000579308),0.0150901,1000,1.44179
