Frequency, Aproximate Re, Aproximate Im, Analytical Re, Analytical Im, Wave Number, Radial distance, Percent abs(z) error
0.0104792,(-2.20224e-05,3.17792e-05),(-0.000493709,0.000869627),0.0104792,1000,0.961498
0.0106888,(3.60807e-05,3.38978e-05),(-0.000301976,0.000953316),0.0106888,1000,0.979598
0.0108984,(-1.94843e-05,6.6696e-05),(-9.70273e-05,0.000995282),0.0108984,1000,0.931818
0.011108,(-2.13068e-05,3.76196e-05),(0.000112168,0.000993689),0.011108,1000,0.965342
0.0113176,(3.71228e-05,-2.53977e-05),(0.000316454,0.000948608),0.0113176,1000,1.01327
0.0115271,(-2.15636e-05,0.000148999),(0.00050689,0.000862011),0.0115271,1000,0.887496
0.0117367,(-2.04571e-05,4.88079e-05),(0.000675142,0.000737687),0.0117367,1000,0.978986
0.0119463,(3.80619e-05,8.51324e-05),(0.000813847,0.000581079),0.0119463,1000,0.920764
0.0121559,(-2.36701e-05,-3.35995e-05),(0.000916934,0.00039904),0.0121559,1000,1.03533
0.0123655,(-1.94775e-05,5.36179e-05),(0.00097989,0.000199537),0.0123655,1000,1.00996
0.0125751,(3.88946e-05,-0.000136286),(0.000999962,-8.69941e-06),0.0125751,1000,0.969499
0.0127847,(-2.57959e-05,0.000120388),(0.00097627,-0.000216555),0.0127847,1000,1.0572
0.0129942,(-1.83725e-05,5.94091e-05),(0.000909852,-0.000414932),0.0129942,1000,1.0424
0.0132038,(3.96175e-05,3.58529e-05),(0.000803614,-0.000595151),0.0132038,1000,0.990887
0.0134134,(-2.79334e-05,8.47224e-05),(0.000662206,-0.000749322),0.0134134,1000,1.08255
0.013623,(-1.71465e-05,8.50905e-05),(0.000491816,-0.000870699),0.013623,1000,1.08286
0.0138326,(4.02273e-05,-3.33728e-05),(0.000299902,-0.00095397),0.0138326,1000,0.95652
0.0140422,(-3.00748e-05,0.000321302),(9.48624e-05,-0.00099549),0.0140422,1000,1.32271
0.0142517,(-1.58039e-05,7.2919e-05),(-0.000114329,-0.000993443),0.0142517,1000,1.0709
0.0144613,(4.07211e-05,5.91357e-05),(-0.000318516,-0.000947917),0.0144613,1000,1.06921
0.0146709,(-3.22126e-05,9.1996e-05),(-0.000508764,-0.000860906),0.0146709,1000,1.06542
0.0148805,(-1.43495e-05,0.000112183),(-0.000676745,-0.000736217),0.0148805,1000,1.07636
0.0150901,(4.10961e-05,-0.000332907),(-0.000815109,-0.000579308),0.0150901,1000,0.890955
0.0152997,(-3.43396e-05,0.00019706),(-0.000917799,-0.000397045),0.0152997,1000,1.06464
0.0155093,(-1.2788e-05,0.000109814),(-0.000980322,-0.000197405),0.0155093,1000,1.01514
0.0157188,(4.13499e-05,9.2121e-05),(-0.000999941,1.08742e-05),0.0157188,1000,1.04446
0.0159284,(-3.64483e-05,0.000251692),(-0.000975797,0.000218677),0.0159284,1000,0.939929
0.016138,(-1.11244e-05,-0.000176833),(-0.000908948,0.00041691),0.016138,1000,1.07639
0.0163476,(4.14803e-05,-0.000256863),(-0.000802318,0.000596897),0.0163476,1000,1.20038
0.0165572,(-3.85316e-05,0.000193249),(-0.000660575,0.00075076),0.0165572,1000,0.835318
0.0167668,(-9.36375e-06,7.03085e-05),(-0.000489921,0.000871767),0.0167668,1000,0.93449
0.0169763,(4.14853e-05,7.46893e-06),(-0.000297826,0.00095462),0.0169763,1000,1.0061
0.0171859,(-4.05824e-05,6.11785e-05),(-9.26971e-05,0.000995694),0.0171859,1000,0.935968
